"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 20:39:10 GMT 2024","Sun Apr 21 20:39:12 GMT 2024","1340","BeforeAll","","","","","Before All",""
"passed","Sun Apr 21 20:39:21 GMT 2024","Sun Apr 21 20:39:29 GMT 2024","7703","webkit","","","","","Successful log in",""
"passed","Sun Apr 21 20:39:29 GMT 2024","Sun Apr 21 20:39:29 GMT 2024","17","AfterAll","","","","","After Each",""
"passed","Sun Apr 21 20:39:16 GMT 2024","Sun Apr 21 20:39:20 GMT 2024","4318","firefox","","","","","Successful log in",""
"passed","Sun Apr 21 20:39:12 GMT 2024","Sun Apr 21 20:39:15 GMT 2024","3107","chromium","","","","","Successful log in",""
