"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 19:37:30 GMT 2024","Sun Apr 21 19:37:30 GMT 2024","14","AfterAll","","","","","After Each",""
"passed","Sun Apr 21 19:37:11 GMT 2024","Sun Apr 21 19:37:12 GMT 2024","375","BeforeAll","","","","","Before All",""
"passed","Sun Apr 21 19:37:15 GMT 2024","Sun Apr 21 19:37:21 GMT 2024","5362","firefox","","","","","Successful log in",""
"passed","Sun Apr 21 19:37:22 GMT 2024","Sun Apr 21 19:37:29 GMT 2024","7696","webkit","","","","","Successful log in",""
"passed","Sun Apr 21 19:37:12 GMT 2024","Sun Apr 21 19:37:15 GMT 2024","2952","chromium","","","","","Successful log in",""
