"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 19:08:52 GMT 2024","Sun Apr 21 19:08:56 GMT 2024","3579","firefox","","","","","Successful log in",""
"passed","Sun Apr 21 19:08:49 GMT 2024","Sun Apr 21 19:08:52 GMT 2024","2921","chromium","","","","","Successful log in",""
"passed","Sun Apr 21 19:08:48 GMT 2024","Sun Apr 21 19:08:48 GMT 2024","377","BeforeAll","","","","","Before All",""
"passed","Sun Apr 21 19:08:57 GMT 2024","Sun Apr 21 19:09:02 GMT 2024","5386","webkit","","","","","Successful log in",""
"passed","Sun Apr 21 19:09:03 GMT 2024","Sun Apr 21 19:09:03 GMT 2024","14","AfterAll","","","","","After Each",""
