"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 15:22:30 GMT 2024","Mon May 13 15:22:40 GMT 2024","9563","webkit","","Log In Tests","","","Successful log in",""
"passed","Mon May 13 15:22:24 GMT 2024","Mon May 13 15:22:29 GMT 2024","5024","firefox","","Log In Tests","","","Successful log in",""
"passed","Mon May 13 15:22:21 GMT 2024","Mon May 13 15:22:24 GMT 2024","2821","chromium","","Log In Tests","","","Successful log in",""
"passed","Mon May 13 15:22:20 GMT 2024","Mon May 13 15:22:20 GMT 2024","428","BeforeAll","","","","","Before All",""
"passed","Mon May 13 15:22:40 GMT 2024","Mon May 13 15:22:40 GMT 2024","12","AfterAll","","","","","After Each",""
